ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-31,62003.9309290037,34806.63447211706,53930.826181267024,62000.11890721987,62007.459007727506,-17512.850559263436,-17512.850559263436,-17512.850559263436,-17512.850559263436,-17512.850559263436,-17512.850559263436,0.0,0.0,0.0,44491.08036974026
2018-02-28,62655.9683373009,26289.36157576717,45705.29762037343,62643.337039776474,62669.7069741804,-26994.7801054513,-26994.7801054513,-26994.7801054513,-26994.7801054513,-26994.7801054513,-26994.7801054513,0.0,0.0,0.0,35661.18823184961
2018-03-31,63377.86689648708,62720.35996014258,81281.10788491194,63350.67897082507,63405.43528132225,8581.773635441883,8581.773635441883,8581.773635441883,8581.773635441883,8581.773635441883,8581.773635441883,0.0,0.0,0.0,71959.64053192896
2018-04-30,64076.47840537693,46651.375696785726,64938.77471619895,64032.25188178838,64119.69950626642,-8134.313763723308,-8134.313763723308,-8134.313763723308,-8134.313763723308,-8134.313763723308,-8134.313763723308,0.0,0.0,0.0,55942.164641653624
2018-05-31,64798.376964563126,46952.181314646994,65734.86559879038,64736.421519350806,64860.22123635318,-8605.359949232417,-8605.359949232417,-8605.359949232417,-8605.359949232417,-8605.359949232417,-8605.359949232417,0.0,0.0,0.0,56193.01701533071
2018-06-30,65496.98847345298,48061.784469801096,66639.16465213227,65413.21254270116,65578.79501818588,-8109.020214602382,-8109.020214602382,-8109.020214602382,-8109.020214602382,-8109.020214602382,-8109.020214602382,0.0,0.0,0.0,57387.9682588506
2018-07-31,66218.88703263915,48012.189977646405,67391.91130161725,66109.07337788898,66322.42714523741,-8902.875937416564,-8902.875937416564,-8902.875937416564,-8902.875937416564,-8902.875937416564,-8902.875937416564,0.0,0.0,0.0,57316.01109522258
2018-08-31,66940.78559182535,52382.335166555,70669.10595010637,66804.47123357006,67067.8739013602,-5004.6702299367735,-5004.6702299367735,-5004.6702299367735,-5004.6702299367735,-5004.6702299367735,-5004.6702299367735,0.0,0.0,0.0,61936.11536188857
2018-09-30,67639.3971007152,89738.18607730429,107944.86911321257,67478.38552901582,67792.5263436165,31256.387985187117,31256.387985187117,31256.387985187117,31256.387985187117,31256.387985187117,31256.387985187117,0.0,0.0,0.0,98895.78508590232
2018-10-31,68361.29565990137,58798.181015699694,77482.06532398725,68174.53743442091,68536.33370933037,-807.5927336029758,-807.5927336029758,-807.5927336029758,-807.5927336029758,-807.5927336029758,-807.5927336029758,0.0,0.0,0.0,67553.7029262984
2018-11-30,69059.90716879124,100446.96418449329,119366.47474935438,68852.89839247857,69267.0474173088,40912.81982944526,40912.81982944526,40912.81982944526,40912.81982944526,40912.81982944526,40912.81982944526,0.0,0.0,0.0,109972.7269982365
2018-12-31,69781.80572797742,92471.13674119816,111884.53439110126,69544.36880913466,70018.14707606188,32082.884526611935,32082.884526611935,32082.884526611935,32082.884526611935,32082.884526611935,32082.884526611935,0.0,0.0,0.0,101864.69025458935
